Coordinate,FC,Expected Speed,Importance,Length,Level,Permanent ID,Road Number Type,Link ID,TMC,ADAS,Heading,Lane,Road Name,Shape Point,Speed Limit,Attribute,Access,Country,Driving Side,One Way,Toll Booth,Speed Sign Location,Character,Type
423091650:-837140850,4,20,55,24650,13,19692452,0,2362dba,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091670:-837141080,4,20,55,24650,13,19692452,0,2363242,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091780:-837141550,4,20,55,24650,13,19692452,0,23636ca,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091820:-837141780,4,20,55,24650,13,19692452,0,2363b52,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091830:-837142269,4,20,55,24650,13,19692452,0,2363fda,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091820:-837142750,4,20,55,24650,13,19692452,0,2364462,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091800:-837143229,4,20,55,24650,13,19692452,0,23648ea,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091780:-837143720,4,20,55,24650,13,19692452,0,2364d72,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091750:-837144200,4,20,55,24650,13,19692452,0,23651fa,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091730:-837144680,4,20,55,24650,13,19692452,0,2365682,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
